MapMySectionsID,Genetics Tools Type,STPT Data File Path,STPT Thumbnail image,Neuroglancer File Path,CCF Registered Image File Path,Target_Cell_Population,Qualitative Image Assessment,ABC.NN,Astro.TE.NN,CLA.EPd.CTX.Car3.Glut,Endo.NN,L2.3.IT.CTX.Glut,L4.5.IT.CTX.Glut,L5.ET.CTX.Glut,L5.IT.CTX.Glut,L5.NP.CTX.Glut,L6.CT.CTX.Glut,L6.IT.CTX.Glut,L6b.CTX.Glut,Lamp5.Gaba,Lamp5.Lhx6.Gaba,Lymphoid.NN,Microglia.NN,OPC.NN,Oligo.NN,Peri.NN,Pvalb.Gaba,Pvalb.chandelier.Gaba,SMC.NN,Sncg.Gaba,Sst.Chodl.Gaba,Sst.Gaba,VLMC.NN,Vip.Gaba
MMS.training.11,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1178437697/ome_zarr_conversion/1178437697.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/622127_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/622127_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1178437697/1178437697.quantification.zip,Oligo,"strong, dense, Oligo; weak, dense, Oligo",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0
MMS.training.12,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1173948335/ome_zarr_conversion/1173948335.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/622958_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/622958_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1173948335/1173948335.quantification.zip,L6_IT_Car3,"[not assessed], sparse, L6_Glutamatergic",0,0,50,4,0,1,0,0,0,0,1,2,4,0,0,0,0,0,0,1,0,0,0,0,3,0,0
MMS.training.13,Mouse transgenic line,s3://allen-genetic-tools/tissuecyte/1067900005/ome_zarr_conversion/1067900005.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/553977_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/553977_STPT.json,,,"strong, dense, Neuron; strong, sparse, Neuron",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,76,12,0,0
MMS.training.14,Mouse transgenic line,s3://allen-genetic-tools/tissuecyte/1031494525/ome_zarr_conversion/1031494525.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/526723_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/526723_STPT.json,,,"strong, sparse, L23_Glutamatergic; strong, sparse, L4_Glutamatergic; strong, sparse, L5_Glutamatergic; strong, sparse, L6_Glutamatergic; strong, sparse, Neuron",0,0,0,0,4,34,16,2,0,5,16,1,5,0,0,0,0,0,0,0,0,0,0,2,0,0,8
MMS.training.15,Mouse transgenic line,s3://allen-genetic-tools/tissuecyte/1143730227/ome_zarr_conversion/1143730227.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/603118_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/603118_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1143730227/1143730227.quantification.zip,,"strong, sparse, L23_Glutamatergic; strong, sparse, L4_Glutamatergic; strong, sparse, L5_Glutamatergic; strong, sparse, L6_Glutamatergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.16,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1215850340/ome_zarr_conversion/1215850340.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/641431_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/641431_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1215850340/1215850340.quantification.zip,Lamp5,"strong, dense, GABAergic; strong, dense, L1",0,1,0,0,0,0,0,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMS.training.17,Mouse transgenic line,s3://allen-genetic-tools/tissuecyte/998400806/ome_zarr_conversion/998400806.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/500023_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/500023_STPT.json,,,"strong, dense, Neuron",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.18,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1164765218/ome_zarr_conversion/1164765218.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/616880_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/616880_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1164765218/1164765218.quantification.zip,Oligo,"weak, dense, Oligo",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,0,0
MMS.training.19,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1385335343/ome_zarr_conversion/1385335343.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/743764_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/743764_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1385335343/1385335343.quantification.zip,L5_ET,"weak, sparse, L5_Glutamatergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.20,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1243865501/ome_zarr_conversion/1243865501.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/660768_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/660768_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1243865501/1243865501.quantification.zip,Pvalb,"strong, dense, GABAergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.21,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1230749146/ome_zarr_conversion/1230749146.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/652135_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/652135_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1230749146/1230749146.quantification.zip,L5_ET,"strong, dense, L5_Glutamatergic",0,0,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMS.training.22,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1301791299/ome-zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/699935_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/699935_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1301791299/1301791299.quantification.zip,Pvalb,"strong, dense, GABAergic; weak, sparse, GABAergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.23,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1174717886/ome_zarr_conversion/1174717886.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/624059_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/624059_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1174717886/1174717886.quantification.zip,L6b,"strong, dense, L6b_Glutamatergic; weak, dense, L6b_Glutamatergic; weak, sparse, L6b_Glutamatergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.24,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1290295780/ome_zarr_conversion/1290295780.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/691385_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/691385_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1290295780/1290295780.quantification.zip,L5_ET,"strong, dense, L5_Glutamatergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.25,Mouse transgenic line,s3://allen-genetic-tools/tissuecyte/1161993728/ome_zarr_conversion/1161993728.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/611840_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/611840_STPT.json,,,"weak, sparse, Neuron",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0
MMS.training.26,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1125257658/ome_zarr_conversion/1125257658.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/574070_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/574070_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1125257658/1125257658.quantification.zip,Oligo,"strong, dense, Oligo",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,0,0,0,0,0,0
MMS.training.27,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1211214677/ome-zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/638217_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/638217_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1211214677/1211214677.quantification.zip,Sst,"strong, dense, GABAergic",0,0,2,0,5,4,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,4,110,0,0
MMS.training.28,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1194140115/ome_zarr_conversion/1194140115.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/632616_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/632616_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1194140115/1194140115.quantification.zip,Vip,"weak, sparse, GABAergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.29,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1389523280/ome_zarr_conversion/1389523280.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/751532_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/751532_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1389523280/1389523280.quantification.zip,Vip,"strong, dense, GABAergic; strong, dense, L1",0,0,0,0,0,0,0,0,0,0,0,0,35,1,0,0,0,0,0,0,0,0,1,0,0,0,10
MMS.training.30,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1293817008/ome_zarr_conversion/1293817008.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/693226_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/693226_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1293817008/1293817008.quantification.zip,L5-6_NP,"strong, sparse, L5_Glutamatergic; weak, dense, L4_Glutamatergic",0,0,0,0,4,12,26,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0
MMS.training.31,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1194843596/ome_zarr_conversion/1194843596.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/632622_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/632622_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1194843596/1194843596.quantification.zip,L4_IT,"weak, sparse, L23_Glutamatergic; weak, sparse, L4_Glutamatergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.32,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1194139746/ome_zarr_conversion/1194139746.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/632615_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/632615_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1194139746/1194139746.quantification.zip,Lamp5,"strong, sparse, Neuron; weak, dense, GABAergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.33,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1175186202/ome_zarr_conversion/1175186202.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/623655_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/623655_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1175186202/1175186202.quantification.zip,L5_ET,"weak, dense, L5_Glutamatergic",0,0,0,0,1,15,82,1,2,1,5,1,4,0,0,0,0,2,0,13,0,0,3,0,10,0,16
MMS.training.34,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1098672718/ome_zarr_conversion/1098672718.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/571073_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/571073_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1098672718/1098672718.quantification.zip,L5_ET,"strong, dense, L5_Glutamatergic",0,2,0,0,13,2,32,0,0,0,15,2,28,1,0,0,0,0,0,4,0,0,1,0,11,0,15
MMS.training.35,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1367943349/ome_zarr_conversion/1367943349.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/728264_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/728264_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1367943349/1367943349.quantification.zip,L6b,"[not assessed], dense, L6_Glutamatergic; [not assessed], sparse, Endo_Peri; [not assessed], sparse, L5_Glutamatergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.36,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1189653676/ome_zarr_conversion/1189653676.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/629439_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/629439_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1189653676/1189653676.quantification.zip,Vip,"weak, sparse, GABAergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.37,Mouse transgenic line,s3://allen-genetic-tools/tissuecyte/791313482/ome_zarr_conversion/791313482.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/426846_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/426846_STPT.json,,,"strong, dense, L23_Glutamatergic; strong, dense, L5_Glutamatergic; strong, dense, L6_Glutamatergic; strong, dense, Neuron; strong, sparse, Neuron",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.38,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1257716662/ome_zarr_conversion/1257716662.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/662301_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/662301_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1257716662/1257716662.quantification.zip,L6_IT_Car3,"strong, dense, L6_Glutamatergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.39,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1099711646/ome_zarr_conversion/1099711646.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/571077_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/571077_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1099711646/1099711646.quantification.zip,L5_ET,"strong, dense, L5_Glutamatergic; strong, dense, L6_Glutamatergic; strong, dense, Neuron; weak, sparse, L5_Glutamatergic",0,0,1,0,22,10,68,1,1,2,7,0,1,0,0,0,0,0,0,10,0,0,0,2,6,0,3
MMS.training.40,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1212535612/ome_zarr_conversion/1212535612.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/639176_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/639176_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1212535612/1212535612.quantification.zip,Astro,"strong, dense, Astro; weak, dense, Astro",0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
MMS.training.41,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1184369762/ome_zarr_conversion/1184369762.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/622136_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/622136_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1184369762/1184369762.quantification.zip,Endo,"strong, dense, Endo_Peri",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.42,Mouse transgenic line,s3://allen-genetic-tools/tissuecyte/1295154745/ome_zarr_conversion/1295154745.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/675052_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/675052_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1295154745/1295154745.quantification.zip,,"strong, sparse, L6_Glutamatergic",,,,,,,,,,,,,,,,,,,,,,,,,,,
MMS.training.43,Enhancer AAV,s3://allen-genetic-tools/tissuecyte/1099236746/ome_zarr_conversion/1099236746.zarr/,https://s3.us-west-2.amazonaws.com/allen-genetic-tools/bio_file_finder/Thumbnails/STPT/571074_STPT_Thumbnail.png,https://neuroglancer-demo.appspot.com/#!s3://allen-genetic-tools/bio_file_finder/STPT/571074_STPT.json,https://s3.us-west-2.amazonaws.com/map-my-sections-802451596237-us-west-2/stpt-image-data/1099236746/1099236746.quantification.zip,L5_ET,"weak, dense, L5_Glutamatergic",0,0,0,0,1,15,82,1,2,1,5,1,4,0,0,0,0,2,0,13,0,0,3,0,10,0,16
